IdRup;Rup;OficinaId;CoordenadaX;CoordenadaY;Huso;Latitud;Longitud;PesoContagio;PesoMasaEntrada;PesoMasaSalida;NivelVigilancia;ProtocoloLab;CantidadNegativosLab;CantidadPositivosLab;ProtocoloPc;CantidadNegativosPc;CantidadPositivosPc;TodosNegativosLab;AlMenosUnPositivoLab;TodosNegativosPc;AlMenosUnPositivoPc;CodigoTERubro;RiesgoMovimiento;TextoRiesgoMovimiento;PREDICCION
366597;04.3.03.0877;13;346473;6597760;18;-30.74318914967245;-76.60380117553531;1;1;1;1;166144;2;0;0;0;0;1;0;0;0;119;S/I;S/I;4
339564;04.1.05.0189;12;356203;6654757;19;-30.23024460714095;-70.49431021866992;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
65209;04.2.04.0022;14;325546;6465091;19;-31.936727327871303;-70.8455388583093;1;3;3;3;211688;28;0;206620;54;0;1;0;0;0;112;S/I;S/I;2
343207;04.1.02.0322;12;282723;6674755;19;-30.03898720531987;-71.25338591329792;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
132209;04.2.01.0791;14;313388;6505652;19;-31.569062682417695;-70.96634603170806;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
228097;04.2.01.0971;14;286515;6486887;19;-31.733566820980386;-71.25341447031023;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
349267;04.2.01.1207;14;290433;6485853;19;-31.74361313687682;-71.21230671998157;5;1;1;1;169044;4;0;0;0;0;1;0;0;0;12;S/I;S/I;4
42388;04.2.02.0031;14;260839;6500879;19;-31.602371552467346;-71.52081164939419;5;1;1;3;207751;57;0;0;0;0;1;0;0;0;12;S/I;S/I;1
357776;04.2.02.0754;14;260518;6502041;18;-31.591830952622505;-77.5239096388796;5;1;1;2;166197;9;0;0;0;0;1;0;0;0;12;S/I;S/I;3
332176;04.2.03.0425;14;271463;6437787;19;-32.173238183571556;-71.42377781338304;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
341588;04.2.03.0473;14;269709;6439944;19;-32.15343866893299;-71.4418467273814;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
228792;04.2.04.1234;14;314087;6483118;19;-31.77236434527003;-70.96325556705695;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
77753;04.3.01.0057;13;279789;6604934;19;-30.668030351095055;-71.29847138406117;5;1;1;3;163327;21;0;0;0;0;1;0;0;0;12;S/I;S/I;1
232973;04.3.02.0345;13;306856;6532641;19;-31.32462835518514;-71.02988233331226;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
103064;04.2.02.0089;14;278293;6505532;19;-31.563922728624934;-71.33593086320327;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
337272;04.2.03.0448;14;264082;6485202;19;-31.74434973772836;-71.49042800754641;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
